GEOID,NAME,S1901_C01_013E
18001,"Adams County, Indiana",65750
18003,"Allen County, Indiana",73195
18005,"Bartholomew County, Indiana",80056
18007,"Benton County, Indiana",61729
18009,"Blackford County, Indiana",56693
18011,"Boone County, Indiana",124465
18013,"Brown County, Indiana",82152
18015,"Carroll County, Indiana",71684
18017,"Cass County, Indiana",61608
18019,"Clark County, Indiana",72734
18021,"Clay County, Indiana",65144
18023,"Clinton County, Indiana",64131
18025,"Crawford County, Indiana",55598
18027,"Daviess County, Indiana",68429
18029,"Dearborn County, Indiana",80394
18031,"Decatur County, Indiana",68940
18033,"DeKalb County, Indiana",72425
18035,"Delaware County, Indiana",60528
18037,"Dubois County, Indiana",74871
18039,"Elkhart County, Indiana",71964
18041,"Fayette County, Indiana",56682
18043,"Floyd County, Indiana",83925
18045,"Fountain County, Indiana",67826
18047,"Franklin County, Indiana",75292
18049,"Fulton County, Indiana",65255
18051,"Gibson County, Indiana",70778
18053,"Grant County, Indiana",56890
18055,"Greene County, Indiana",62184
18057,"Hamilton County, Indiana",131790
18059,"Hancock County, Indiana",87144
18061,"Harrison County, Indiana",72940
18063,"Hendricks County, Indiana",99177
18065,"Henry County, Indiana",62330
18067,"Howard County, Indiana",65998
18069,"Huntington County, Indiana",64240
18071,"Jackson County, Indiana",66368
18073,"Jasper County, Indiana",73222
18075,"Jay County, Indiana",60027
18077,"Jefferson County, Indiana",67274
18079,"Jennings County, Indiana",67996
18081,"Johnson County, Indiana",90501
18083,"Knox County, Indiana",63212
18085,"Kosciusko County, Indiana",75552
18087,"LaGrange County, Indiana",77943
18089,"Lake County, Indiana",73253
18091,"LaPorte County, Indiana",69755
18093,"Lawrence County, Indiana",63859
18095,"Madison County, Indiana",62510
18097,"Marion County, Indiana",68914
18099,"Marshall County, Indiana",67414
18101,"Martin County, Indiana",62744
18103,"Miami County, Indiana",61391
18105,"Monroe County, Indiana",70085
18107,"Montgomery County, Indiana",67020
18109,"Morgan County, Indiana",80395
18111,"Newton County, Indiana",63790
18113,"Noble County, Indiana",68936
18115,"Ohio County, Indiana",69488
18117,"Orange County, Indiana",58832
18119,"Owen County, Indiana",60524
18121,"Parke County, Indiana",64709
18123,"Perry County, Indiana",64159
18125,"Pike County, Indiana",61466
18127,"Porter County, Indiana",88151
18129,"Posey County, Indiana",78947
18131,"Pulaski County, Indiana",59326
18133,"Putnam County, Indiana",71447
18135,"Randolph County, Indiana",59581
18137,"Ripley County, Indiana",71576
18139,"Rush County, Indiana",65706
18141,"St. Joseph County, Indiana",71909
18143,"Scott County, Indiana",60070
18145,"Shelby County, Indiana",73073
18147,"Spencer County, Indiana",76231
18149,"Starke County, Indiana",64476
18151,"Steuben County, Indiana",73107
18153,"Sullivan County, Indiana",64112
18155,"Switzerland County, Indiana",62890
18157,"Tippecanoe County, Indiana",71389
18159,"Tipton County, Indiana",74502
18161,"Union County, Indiana",62140
18163,"Vanderburgh County, Indiana",69566
18165,"Vermillion County, Indiana",61067
18167,"Vigo County, Indiana",61602
18169,"Wabash County, Indiana",64394
18171,"Warren County, Indiana",76096
18173,"Warrick County, Indiana",94684
18175,"Washington County, Indiana",61872
18177,"Wayne County, Indiana",64356
18179,"Wells County, Indiana",72066
18181,"White County, Indiana",66551
18183,"Whitley County, Indiana",77629
