Total,Women who gave birth in last 12 months,GEOID,NAME
7244,743,18001,"Adams County, Indiana"
88438,5452,18003,"Allen County, Indiana"
18737,1068,18005,"Bartholomew County, Indiana"
1851,162,18007,"Benton County, Indiana"
2360,142,18009,"Blackford County, Indiana"
15170,950,18011,"Boone County, Indiana"
2695,102,18013,"Brown County, Indiana"
4066,294,18015,"Carroll County, Indiana"
8016,446,18017,"Cass County, Indiana"
27276,1684,18019,"Clark County, Indiana"
5651,373,18021,"Clay County, Indiana"
6828,514,18023,"Clinton County, Indiana"
2028,109,18025,"Crawford County, Indiana"
6996,584,18027,"Daviess County, Indiana"
10655,417,18029,"Dearborn County, Indiana"
5776,184,18031,"Decatur County, Indiana"
9262,425,18033,"DeKalb County, Indiana"
30103,1274,18035,"Delaware County, Indiana"
8886,688,18037,"Dubois County, Indiana"
46436,3084,18039,"Elkhart County, Indiana"
4911,338,18041,"Fayette County, Indiana"
18079,795,18043,"Floyd County, Indiana"
3410,209,18045,"Fountain County, Indiana"
4765,310,18047,"Franklin County, Indiana"
4072,163,18049,"Fulton County, Indiana"
7133,594,18051,"Gibson County, Indiana"
15446,542,18053,"Grant County, Indiana"
6655,338,18055,"Greene County, Indiana"
79714,4178,18057,"Hamilton County, Indiana"
17396,893,18059,"Hancock County, Indiana"
8354,476,18061,"Harrison County, Indiana"
38370,1774,18063,"Hendricks County, Indiana"
9352,473,18065,"Henry County, Indiana"
17962,823,18067,"Howard County, Indiana"
8008,460,18069,"Huntington County, Indiana"
9779,570,18071,"Jackson County, Indiana"
7298,319,18073,"Jasper County, Indiana"
4531,332,18075,"Jay County, Indiana"
7835,530,18077,"Jefferson County, Indiana"
6043,408,18079,"Jennings County, Indiana"
36733,1717,18081,"Johnson County, Indiana"
7884,424,18083,"Knox County, Indiana"
17546,1347,18085,"Kosciusko County, Indiana"
8282,520,18087,"LaGrange County, Indiana"
111827,6851,18089,"Lake County, Indiana"
22477,1170,18091,"LaPorte County, Indiana"
9567,646,18093,"Lawrence County, Indiana"
28387,1313,18095,"Madison County, Indiana"
244240,12857,18097,"Marion County, Indiana"
9899,553,18099,"Marshall County, Indiana"
2113,86,18101,"Martin County, Indiana"
7202,340,18103,"Miami County, Indiana"
42970,1275,18105,"Monroe County, Indiana"
7826,449,18107,"Montgomery County, Indiana"
15566,562,18109,"Morgan County, Indiana"
2835,334,18111,"Newton County, Indiana"
10247,679,18113,"Noble County, Indiana"
1060,70,18115,"Ohio County, Indiana"
3950,228,18117,"Orange County, Indiana"
4077,175,18119,"Owen County, Indiana"
3892,198,18121,"Parke County, Indiana"
3595,366,18123,"Perry County, Indiana"
2434,70,18125,"Pike County, Indiana"
38800,1754,18127,"Porter County, Indiana"
5372,251,18129,"Posey County, Indiana"
2515,88,18131,"Pulaski County, Indiana"
8074,381,18133,"Putnam County, Indiana"
5225,363,18135,"Randolph County, Indiana"
6152,418,18137,"Ripley County, Indiana"
3643,106,18139,"Rush County, Indiana"
64780,3717,18141,"St. Joseph County, Indiana"
5165,142,18143,"Scott County, Indiana"
9740,578,18145,"Shelby County, Indiana"
4127,232,18147,"Spencer County, Indiana"
4934,360,18149,"Starke County, Indiana"
7093,449,18151,"Steuben County, Indiana"
4114,122,18153,"Sullivan County, Indiana"
2168,80,18155,"Switzerland County, Indiana"
52084,2728,18157,"Tippecanoe County, Indiana"
3120,288,18159,"Tipton County, Indiana"
1483,19,18161,"Union County, Indiana"
42213,1811,18163,"Vanderburgh County, Indiana"
3201,252,18165,"Vermillion County, Indiana"
24947,1315,18167,"Vigo County, Indiana"
6658,310,18169,"Wabash County, Indiana"
1641,91,18171,"Warren County, Indiana"
13627,577,18173,"Warrick County, Indiana"
5866,340,18175,"Washington County, Indiana"
14260,584,18177,"Wayne County, Indiana"
5898,261,18179,"Wells County, Indiana"
4792,329,18181,"White County, Indiana"
7042,373,18183,"Whitley County, Indiana"
