State,TotalDoses,DosesDelivered/100K
Alaska,1445865,197645
Alabama,9254240,188739
Arkansas,5883220,194950
Arizona,14089420,193570
California,85912025,217432
Colorado,11873675,206185
Connecticut,8301935,232855
District of Columbia,1781505,252428
Delaware,2220655,228049
Florida,45653145,212560
Georgia,20654895,194538
Iowa,6239055,197747
Idaho,3215390,179926
Illinois,26172995,206545
Indiana,12624880,187529
Kansas,5749415,197350
Kentucky,8403575,188097
Louisiana,7900490,169947
Massachusetts,16184590,234814
Maryland,15010810,248290
Maine,3192350,237489
Michigan,20022330,200487
Minnesota,11987070,212551
Missouri,11075305,180455
Mississippi,5298535,178033
Montana,1880895,175986
North Carolina,20885300,199134
North Dakota,1313300,172335
Nebraska,3770510,194918
New Hampshire,3277330,241031
New Jersey,20953935,235910
New Mexico,4246545,202522
Nevada,5672710,184170
New York,43955345,225950
Ohio,21972355,187973
Oklahoma,6988530,176613
Oregon,9527285,225886
Pennsylvania,28797825,224948
Rhode Island,2495425,235559
South Carolina,10006475,194349
South Dakota,1764865,199497
Tennessee,12261030,179539
Texas,58893195,203109
Utah,5995950,187025
Virginia,18766005,219858
Vermont,1698450,272192
Washington,16839095,221134
Wisconsin,11098045,190608
West Virginia,3853285,215009
Wyoming,934885,161533
